"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes"
"SPIN4",0.082549845843951,2.22899037430163,0.357823635294476,0.721520823951751,0.977249836425808,-5.98572285848602,"SPIN4"
"TET2",-0.253515703661148,7.84694013865488,-0.918081945581406,0.361637346989562,0.871527833208407,-5.98583659294017,"TET2"
"SAFB",-0.111327414520553,6.6235541863333,-0.83949494363949,0.403966918354871,0.888373919567179,-5.98588255399845,"SAFB"
"ERICH6-AS1",-0.0526768955284083,2.25957255223062,-0.172268632798597,0.863709035850609,0.988458712841933,-5.98590602664664,"ERICH6-AS1"
"FLII",0.167879652191736,4.52798830571844,0.63072689421664,0.530213573195833,0.93315686150417,-5.98602124905312,"FLII"
"GRAMD4",0.161262683238819,4.55347487342556,0.576561565976655,0.566031557137149,0.946004889858177,-5.98606579786811,"GRAMD4"
"ZNF239",0.1300335129958,2.10916026750253,0.416089685907671,0.678580460970233,0.970454456347644,-5.98608769778278,"ZNF239"
"WDR37",-0.149587910829196,6.57328409684894,-0.833103928322354,0.407537731561959,0.890158551170272,-5.98615243478518,"WDR37"
"TAF1D",0.305571265525479,7.39459436101672,0.883531225675669,0.379886248559668,0.880053130641822,-5.98615696303182,"TAF1D"
"PML",0.121626634711284,4.85530711493058,0.573561549418298,0.568049544015164,0.946853333343372,-5.98642429140863,"PML"
"NRG2",-0.295222513945083,4.42722067555974,-0.757364216738776,0.45130006654525,0.908466790147841,-5.98649995373903,"NRG2"
"BTN3A1",0.183639743097248,4.49263692793176,0.596719814062008,0.552563804544068,0.940357499952893,-5.98666506550083,"BTN3A1"
"TASP1",-0.241472005294529,6.96965786376336,-0.884059576664201,0.37960290305225,0.880053130641822,-5.98667143162081,"TASP1"
"LSM1",-0.224248519168004,3.81550824855122,-0.594262119223891,0.554197167734227,0.941221098310967,-5.98691153619851,"LSM1"
"CAPS",0.0740725899124314,2.21005844747717,0.253968769383822,0.800242633773936,0.985069224390362,-5.98692843488404,"CAPS"
"ADAMTS3",-0.188810528403129,2.60461711089265,-0.240749254481998,0.81043465580682,0.986184893601257,-5.9870040311489,"ADAMTS3"
"PANK4",0.0549085330599027,2.5408033398341,0.20945148096045,0.834686557368161,0.987655321631162,-5.98704972904105,"PANK4"
"FAM171B",-0.252217320650858,5.33307907128724,-0.836905698878462,0.405411281929946,0.888648167630685,-5.98709996283262,"FAM171B"
"LAP3",0.241277987964954,4.85349863932071,0.604275293732722,0.547557647176263,0.938918936617564,-5.98710667993636,"LAP3"
"TMEM41A",0.145995276879555,3.25011035252799,0.485381013254598,0.628877932864197,0.963012543484328,-5.98735654878891,"TMEM41A"
"LY6E",-0.107470651389704,3.35881772272524,-0.126435649418454,0.899740003658202,0.990484143974303,-5.98737457716199,"LY6E"
"SEC24B-AS1",-0.0500953992455602,2.54645747079455,-0.133450794166057,0.894208698414853,0.989949588462669,-5.98751708856953,"SEC24B-AS1"
"SLC8A2",0.242542569187066,3.05908767232611,0.6256532911448,0.533518085131494,0.934341704394456,-5.98763808355508,"SLC8A2"
"GMEB1",-0.150598735786517,3.99799513983508,-0.541180845585045,0.590051386308531,0.951223526093751,-5.98776454361408,"GMEB1"
"SETMAR",0.101017365540438,2.94237061520036,0.424121241654114,0.672740302041167,0.969520935946851,-5.98779887284613,"SETMAR"
"CYB5A",0.29582770167486,5.12931179382848,0.784310186830204,0.435427670366112,0.901437923679855,-5.9881009822616,"CYB5A"
"RUBCN",-0.205738202276395,5.7579169834982,-0.736378183963251,0.463890050996076,0.912430281418667,-5.98854843342048,"RUBCN"
"KBTBD11",-0.254629064482185,2.62488506975208,-0.570799882272152,0.569910304013754,0.947559683044215,-5.98855686407716,"KBTBD11"
"RAB11B-AS1",0.0641459086304144,2.46812574237718,0.178479382471885,0.858847117829031,0.988458712841933,-5.98858317065469,"RAB11B-AS1"
"FOXO1",0.350145253954641,6.83881166275354,0.609338163820333,0.544217787259184,0.938536244468425,-5.98859913367123,"FOXO1"
"ZNF761",-0.233193586643573,3.92856055781654,-0.541070130270808,0.59012729753326,0.951223526093751,-5.98861542960858,"ZNF761"
"DSTYK",0.135159091202234,5.33045724861277,0.755689139972069,0.452297679207782,0.908794512947036,-5.98879255089192,"DSTYK"
"SERPINH1",0.00815747902655417,3.92951685440405,0.00875876356548612,0.993035865246488,0.999229280220203,-5.98887354863506,"SERPINH1"
"ANKRD31",-0.216082918244897,2.65821634030794,-0.566468041810307,0.57283498262738,0.948108292635079,-5.98895134086229,"ANKRD31"
