"","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","comparison"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.MAGEF1",-2.28971118956931,3.2879141145606,-7.68352426829744,5.13057725090307e-11,5.20786062974579e-09,14.8513203250714,"MAGEF1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SNRNP25",-2.70104403201255,2.4160247836809,-7.67960289873741,5.21868304472412e-11,5.26397727492362e-09,14.841577242427,"SNRNP25","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.KRTCAP2",-2.88163680703194,5.29781220125741,-7.68665219537035,5.08519377180842e-11,5.19467119186391e-09,14.835398212789,"KRTCAP2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.RTL8A",-2.61157379208978,3.5580992671056,-7.66919227713338,5.45998123738235e-11,5.47294869282114e-09,14.7909385000936,"RTL8A","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.ELOF1",-2.19924372583471,3.1804665551126,-7.66524264373446,5.55441063346417e-11,5.5330209776086e-09,14.7795671150338,"ELOF1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.CCDC106",-2.34061154402541,2.1441404886221,-7.64739057216045,6.00196013528828e-11,5.84282914928167e-09,14.7062143720759,"CCDC106","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PSMB1",-2.22018612813204,5.93453689912145,-7.65316325385023,5.85343837557626e-11,5.7949039918205e-09,14.6946747138589,"PSMB1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.UQCR11",-3.21039276872589,5.66892070806362,-7.65434580156756,5.89025694003951e-11,5.79557919045114e-09,14.6830645213711,"UQCR11","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SUMO2",-2.65621029843517,6.09835065135268,-7.64797208037647,6.01114110008403e-11,5.84282914928167e-09,14.6614979525254,"SUMO2","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.MEAF6",-1.512674119442,5.10075797534364,-7.63854073646964,6.2369823405716e-11,6.02582667337875e-09,14.6507356873577,"MEAF6","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SRP9",-1.68630784533068,5.8045711737405,-7.63689175114088,6.28177774720836e-11,6.03276356345675e-09,14.6213689971838,"SRP9","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.RRAGA",-2.71544101328818,3.83493366466196,-7.62192644485002,6.70341876597153e-11,6.32408412756773e-09,14.5888729697251,"RRAGA","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SAP18",-2.81338290807522,5.31956034437292,-7.62791507457308,6.55988451489044e-11,6.26234689582219e-09,14.5866801682136,"SAP18","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.SELENOW",-2.90244172975565,6.1208919315678,-7.62338033888415,6.70329459343712e-11,6.32408412756773e-09,14.5542637865304,"SELENOW","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.ALG3",-2.09004331650134,2.6808564014386,-7.60694086391948,7.15359664546031e-11,6.59364270114325e-09,14.5365978608768,"ALG3","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.MRPS7",-2.05767719138937,4.11387584896428,-7.61024891487571,7.05166168226685e-11,6.57526453838347e-09,14.5357106613562,"MRPS7","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.CEP192",1.49016183753506,6.7398286064391,7.61088043150879,7.03236729713833e-11,6.57526453838347e-09,14.5271572860769,"CEP192","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.P4HTM",-2.01198903015089,4.78679229936315,-7.60776363234713,7.1281072211824e-11,6.59364270114325e-09,14.5066326538551,"P4HTM","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.HOXA7",-5.02989759688782,1.12646864231181,-7.60650014629844,7.27535456119926e-11,6.62966684389282e-09,14.4910929891838,"HOXA7","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.PRADC1",-2.35243928149269,2.16138795721606,-7.59473114797584,7.54271447610627e-11,6.83446637106172e-09,14.4838029353373,"PRADC1","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
"assignmentsChromaffin_cells.Chrom_SOX2_statusLow.LAPTM4A",-2.76012244328049,6.34992414249518,-7.60580397883162,7.22753782961763e-11,6.62372866922329e-09,14.4762527619326,"LAPTM4A","assignmentsChromaffin_cells.Chrom_SOX2_statusLow"
